Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:2, leb:3, bs:12, ueb:7,
Net:0.0874920264183, Trade:1.11799334367, Cost:1.03050131725, Trades/Day:16.2333333333, et:3, leb:3, bs:1, ueb:7,
Net:0.0827335033089, Trade:1.10141209838, Cost:1.01867859507, Trades/Day:15.5666666667, et:3, leb:3, bs:2, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:3, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:4, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:5, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:6, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:7, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:8, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:9, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:10, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:11, ueb:7,
Net:0.085027182014, Trade:1.10247859465, Cost:1.01745141264, Trades/Day:15.5333333333, et:3, leb:3, bs:12, ueb:7,
Net:0.108923011306, Trade:1.31896568177, Cost:1.21004267047, Trades/Day:24.4666666667, et:0, leb:3, bs:4, ueb:8,
Net:0.19852752217, Trade:1.29080435784, Cost:1.09227683567, Trades/Day:19.2666666667, et:0, leb:3, bs:5, ueb:8,
Net:0.174058601921, Trade:1.22647694951, Cost:1.05241834759, Trades/Day:17.1833333333, et:0, leb:3, bs:6, ueb:8,
Net:0.145435661422, Trade:1.17985852907, Cost:1.03442286764, Trades/Day:16.3, et:0, leb:3, bs:7, ueb:8,
Net:0.134208666911, Trade:1.15794834857, Cost:1.02373968166, Trades/Day:15.7833333333, et:0, leb:3, bs:8, ueb:8,
Net:0.114826819648, Trade:1.13629675741, Cost:1.02146993776, Trades/Day:15.6333333333, et:0, leb:3, bs:9, ueb:8,
Net:0.113845840263, Trade:1.13531577782, Cost:1.02146993755, Trades/Day:15.6333333333, et:0, leb:3, bs:10, ueb:8,
Net:0.0974299814873, Trade:1.11889989727, Cost:1.02146991578, Trades/Day:15.6166666667, et:0, leb:3, bs:11, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:0, leb:3, bs:12, ueb:8,
Net:0.112379394528, Trade:1.22081700695, Cost:1.10843761242, Trades/Day:19.6, et:1, leb:3, bs:3, ueb:8,
Net:0.104197848891, Trade:1.14642304497, Cost:1.04222519608, Trades/Day:16.35, et:1, leb:3, bs:4, ueb:8,
Net:0.100544373129, Trade:1.12636036773, Cost:1.02581599461, Trades/Day:15.7833333333, et:1, leb:3, bs:5, ueb:8,
Net:0.101845515941, Trade:1.12469879965, Cost:1.02285328371, Trades/Day:15.65, et:1, leb:3, bs:6, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:1, leb:3, bs:7, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:1, leb:3, bs:8, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:1, leb:3, bs:9, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:1, leb:3, bs:10, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:1, leb:3, bs:11, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:1, leb:3, bs:12, ueb:8,
