Net:-1.11150251304, Trade:2.06936356598, Cost:3.18086607902, Trades/Day:48.15, et:0, leb:2, bs:11, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:0, leb:2, bs:12, ueb:4,
Net:-2.44760275893, Trade:2.3724404593, Cost:4.82004321823, Trades/Day:123.55, et:1, leb:2, bs:1, ueb:4,
Net:-1.15881979209, Trade:2.36510663754, Cost:3.52392642963, Trades/Day:64.3833333333, et:1, leb:2, bs:2, ueb:4,
Net:-1.07639466231, Trade:2.15373848197, Cost:3.23013314428, Trades/Day:50.6166666667, et:1, leb:2, bs:3, ueb:4,
Net:-1.09118033692, Trade:2.09176511447, Cost:3.1829454514, Trades/Day:48.3666666667, et:1, leb:2, bs:4, ueb:4,
Net:-1.11053421694, Trade:2.07052496149, Cost:3.18105917843, Trades/Day:48.1833333333, et:1, leb:2, bs:5, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:6, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:7, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:8, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:9, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:10, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:11, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:1, leb:2, bs:12, ueb:4,
Net:-1.07743454156, Trade:2.24355226393, Cost:3.3209868055, Trades/Day:54.75, et:2, leb:2, bs:1, ueb:4,
Net:-1.11134773121, Trade:2.07615961167, Cost:3.18750734288, Trades/Day:48.4333333333, et:2, leb:2, bs:2, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:3, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:4, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:5, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:6, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:7, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:8, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:9, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:10, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:11, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:2, leb:2, bs:12, ueb:4,
Net:-4.72809562176, Trade:1.39797242498, Cost:6.12606804673, Trades/Day:177.3, et:-2, leb:2, bs:1, ueb:5,
Net:-3.84436300626, Trade:1.89097068607, Cost:5.73533369234, Trades/Day:158.833333333, et:-2, leb:2, bs:2, ueb:5,
