Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:1, leb:2, bs:9, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:1, leb:2, bs:10, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:1, leb:2, bs:11, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:1, leb:2, bs:12, ueb:4,
Net:1.80048522626, Trade:5.54469968676, Cost:3.7442144605, Trades/Day:51.5882352941, et:2, leb:2, bs:1, ueb:4,
Net:1.64958660132, Trade:5.27951833203, Cost:3.62993173071, Trades/Day:46.7394957983, et:2, leb:2, bs:2, ueb:4,
Net:1.62712371248, Trade:5.25185904383, Cost:3.62473533134, Trades/Day:46.4789915966, et:2, leb:2, bs:3, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:4, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:5, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:6, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:7, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:8, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:9, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:10, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:11, ueb:4,
Net:1.62645319407, Trade:5.24989874088, Cost:3.62344554681, Trades/Day:46.4369747899, et:2, leb:2, bs:12, ueb:4,
Net:0.089215191313, Trade:5.32181538974, Cost:5.23260019843, Trades/Day:103.655462185, et:-2, leb:2, bs:9, ueb:5,
